,subj,channel,X10,raw_top_r,raw_top_rho,raw_btm_r,raw_btm_rho,raw_comb_r,raw_comb_rho,raw_SAM_y_r,raw_SAM_y_rho,raw_SAM_e_r,raw_SAM_e_rho,raw_SAM_i_r,raw_SAM_i_rho,control_rho,Unnamed: 0,raw_top_r_pval,raw_top_rho_pval,raw_btm_r_pval,raw_btm_rho_pval,raw_comb_r_pval,raw_comb_rho_pval,raw_SAM_y_r_pval,raw_SAM_y_rho_pval,raw_SAM_e_r_pval,raw_SAM_e_rho_pval,raw_SAM_i_r_pval,raw_SAM_i_rho_pval,raw_top_r_pFDR,raw_top_rho_pFDR,raw_btm_r_pFDR,raw_btm_rho_pFDR,raw_comb_r_pFDR,raw_comb_rho_pFDR,raw_SAM_y_r_pFDR,raw_SAM_y_rho_pFDR,raw_SAM_e_r_pFDR,raw_SAM_e_rho_pFDR,raw_SAM_i_r_pFDR,raw_SAM_i_rho_pFDR
38,1002,LPPV6-LPPV5,Prefrontal,0.061624544017445,0.0587717270354763,-0.03658951744538,-0.0331088278254124,0.0284218529828565,0.0271088145774103,0.0790877689698621,0.0882004994880799,0.0341620781172154,0.0441467844074855,-0.0826017204887096,-0.0850796795327487,-0.0581720525715284,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1002,LPPV7-LPPV6,Prefrontal,0.0655563909198471,0.060792150270744,-0.0336043977696264,-0.0381414650466344,0.0458972840907713,0.0268501667280266,0.0977279963034199,0.1053579601532736,0.0423124126750122,0.0402733204917312,-0.1048913073350137,-0.1133978892476623,-0.0535868407018945,39,0.0,0.0,0.186,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.31082666666666664,0.0025306122448979593,0.0,0.0,0.0,0.0,0.0,0.0022142857142857146,0.0,0.0
40,1002,LPPV8-LPPV7,Prefrontal,0.0146851383212433,0.017960362553658,-0.0317967161179627,-0.0363381416221026,-0.0199763345200475,-0.0283645508423281,0.0611013537719691,0.0695362463897994,0.0326977172345341,0.0463209520513523,-0.052291424795353,-0.0543088153454104,-0.0406908806225409,40,0.0,0.011,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019768115942028985,0.0,0.0,0.10266666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1002,LPPV9-LPPV8,Rolandic,0.0405335265234353,0.0245722414995586,-0.0196752357703432,-0.0303697669071627,0.0148599123890974,-0.0013626795140287,0.1053229040239027,0.1051623305539729,0.0359653213626733,0.053576094076175,-0.0688632354365854,-0.0831118543218967,-0.0339906970225115,41,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1002,LSMA10-LSMA9,Prefrontal,0.0191988153246333,-0.0032961420953827,0.0059704275961171,0.0077554810488769,0.0135624313405747,0.0122124184659869,-0.0004915878139141,-0.0030809407809505,0.0008782357518911,-0.0087340936854549,0.0154591079305186,0.0077138946102231,0.0057055812008929,42,0.0,1.0,0.984,0.984,0.0,0.0,1.0,1.0,0.0,1.0,0.683,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
43,1002,LSMA11-LSMA10,Prefrontal,-0.0203618829672968,-0.0087574393531902,0.0103798962010162,0.00494887528782,-0.0127501555020645,-0.0054722635315621,-0.0068466082788761,-0.0033556521209043,-0.0108241183370123,-0.0059193970431035,0.0277073406804253,0.0246460547593687,0.0026642638502822,43,0.0,0.0,1.0,1.0,0.0,0.0,0.992,0.986,0.998,1.0,0.999,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
44,1002,LSMA12-LSMA11,Prefrontal,-0.0223477880343522,-0.0085133812021409,-0.0074879770931535,-0.0120097647375623,-0.0216413211220155,-0.0152099029775844,-0.0257424036974137,-0.0250474600075936,-0.0060674594643565,-0.0013183113789298,0.0396866663074476,0.0349692912270866,0.0100909932305589,44,0.0,0.009,0.008,0.0,0.004,0.253,1.0,1.0,0.902,0.999,0.88,1.0,0.0,0.01641176470588235,0.015746031746031744,0.0,0.005636363636363636,0.33023157894736843,1.0,1.0,1.0,1.0,1.0,1.0
45,1002,LSMA13-LSMA12,Prefrontal,-0.0332083122912649,-0.0041921202227392,-0.0108318185836072,-0.0117156014904962,-0.0415583212375345,-0.0354547425687588,-0.0260784049694158,-0.0202793665726986,-0.0009623673362915,0.0020469706955153,0.0130549118496657,0.0249632265221162,-0.0022538545686167,45,0.0,0.002,1.0,0.893,0.0,0.0,0.0,0.0,0.01,0.964,0.003,0.021,0.0,0.003936507936507936,1.0,1.0,0.0,0.0,0.0,0.0,0.020327868852459016,1.0,0.006642857142857143,0.04268852459016394
46,1002,LSMA14-LSMA13,Prefrontal,-0.0364893733771992,-0.0711304610448737,0.0107170407778895,0.0018129510740721,-0.0322918482167309,-0.0624937351829976,-0.0328737468546748,-0.035573844027815,-0.0050326489236204,-0.002475637644102,0.0352533922330085,0.0209348823255811,-0.0023149612663938,46,0.0,0.0,0.0,0.007,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01578181818181818,0.04496703296703297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1002,LSMA2-LSMA1,MedialWall,-0.0209686332637055,-0.023304506768721,-0.0302855341079925,-0.0316311034289765,-0.03537137200474,-0.0324717840114854,-0.0152609863149727,-0.0046886561101849,0.0217910004349539,0.020632844005255,-0.0214753888681942,-0.0206790799166527,-0.0402832584133213,47,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.906,0.0,0.001,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.13880597014925372,1.0,0.0,0.0022142857142857146,0.0,0.07282539682539682
